originreportzone,destreportzone,departtime,trippurpose,modeprimary
400,400,1425,51,7
400,400,1435,80,7
400,400,1520,51,7
400,400,1540,80,7
400,400,755,52,7
400,400,810,80,7
300,400,1700,80,1
400,400,725,30,18
400,400,1400,80,18
400,180,755,30,18
180,400,1500,80,18
425,425,825,52,1
425,425,840,80,1
425,425,1500,51,1
425,425,1520,80,1
425,425,820,30,2
425,425,1520,80,2
140,140,1300,41,2
140,180,1400,41,2
180,180,1515,52,2
180,140,1530,80,2
140,140,1300,41,1
140,180,1400,41,1
180,180,1515,52,1
180,140,1530,80,1
300,300,845,43,1
50,300,1410,80,1
300,300,1630,43,1
300,300,1745,80,1
500,500,745,41,1
500,500,915,80,1
500,500,1500,51,7
500,500,1515,80,7
500,500,730,52,7
500,500,745,80,7
500,500,1045,41,1
500,500,1200,41,1
500,500,1230,41,1
500,500,1245,80,1
500,500,1440,51,7
500,500,1455,80,7
100,100,1300,80,1
100,1,1900,46,1
1,100,2130,80,1
100,1,805,10,6
1,100,1630,80,6
100,100,945,46,1
100,100,1100,80,1
100,50,1545,20,4
50,100,1715,44,4
100,100,1745,80,1
120,100,2130,80,1
260,200,1100,41,1
200,140,1200,41,1
140,300,1300,41,1
300,100,1530,43,1
100,260,1615,80,1
500,240,1000,10,1
240,500,1700,80,1
100,140,1425,10,4
140,100,2005,80,2
100,120,835,30,3
120,100,1545,80,3
300,200,810,43,1
200,300,1230,80,1
140,50,1410,44,1
50,140,1505,80,1
50,200,810,10,1
200,50,1645,80,1
50,50,2315,80,7
50,140,830,10,1
140,140,1830,41,1
140,50,1900,80,1
50,1,1100,41,7
1,50,1300,44,7
50,50,1430,80,7
50,140,1500,52,1
140,50,1530,80,1
50,1,1100,41,7
1,50,1300,44,7
50,50,1430,80,7
425,425,1600,41,1
425,425,1615,41,1
425,425,1645,80,1
425,200,900,10,1
200,425,1615,80,1
425,260,1050,43,1
260,425,1145,80,1
425,450,610,10,1
450,425,1545,80,1
260,260,1015,44,1
260,260,1100,46,1
260,260,1200,80,1
260,260,1420,41,1
260,260,1535,80,1
260,260,1420,41,2
260,260,1535,80,2
300,300,1115,41,1
300,300,1130,80,1
300,300,1500,41,1
300,300,1530,40,1
300,300,1535,80,1
300,300,815,10,1
300,180,1130,51,1
180,300,1200,80,1
300,300,1215,10,1
300,300,1710,46,1
300,300,2300,80,1
50,50,1100,41,1
50,50,1130,80,1
240,50,910,11,1
50,50,1105,41,1
50,240,1120,40,1
240,240,1130,41,7
240,240,1150,80,1
240,1,1700,46,2
1,240,2120,80,2
240,50,720,10,6
50,240,1730,80,6
240,240,1900,46,6
240,240,2200,80,6
240,240,720,52,6
240,240,800,52,7
240,50,810,30,6
50,240,1530,80,6
240,240,720,30,6
240,240,1445,80,6
140,140,930,41,1
140,140,1030,80,1
500,500,1830,41,1
500,500,1925,80,1
500,240,630,46,1
240,500,645,80,1
50,140,1525,41,6
140,50,1625,80,6
50,600,800,11,6
600,50,1229,80,6
300,260,700,10,1
260,300,1530,80,1
500,500,1005,41,1
500,500,1030,41,7
500,500,1230,80,7
240,50,1730,44,7
50,240,1945,80,7
500,260,735,10,1
260,500,1700,80,1
500,200,700,10,1
200,500,1700,80,1
100,1,1645,51,1
500,140,1900,52,1
140,100,2040,80,1
140,180,715,10,3
180,140,1645,80,3
140,200,2045,46,11
200,140,2330,80,11
300,300,1835,46,7
300,300,1920,80,7
500,260,730,10,1
500,500,830,44,1
500,260,835,10,1
260,500,1855,80,1
120,300,930,41,1
300,300,1130,41,1
300,120,1300,80,1
120,300,930,41,2
300,300,1130,41,2
300,120,1300,80,2
300,300,1200,41,1
300,300,1230,41,1
300,300,1300,41,1
300,300,1330,80,1
50,140,720,10,1
140,50,1915,80,1
50,1,730,20,7
1,50,1600,80,7
50,120,845,52,1
120,50,905,80,1
50,50,1930,41,7
50,50,2000,80,7
50,140,700,10,6
140,50,1600,80,6
50,50,1630,44,7
50,50,1815,80,7
50,120,845,30,2
120,50,1700,80,4
50,50,850,30,7
50,50,1515,46,7
50,50,1730,80,7
50,140,920,51,4
140,120,1100,41,2
120,140,1400,41,2
140,50,1800,80,2
300,625,1330,10,1
625,300,1630,80,1
1,1,1615,41,7
1,1,1630,41,7
1,50,1645,41,7
50,1,1715,80,7
100,100,1610,41,3
100,100,1645,44,7
100,100,1700,80,3
100,100,1610,41,3
100,100,1645,44,7
100,100,1700,80,3
260,425,735,30,3
425,260,1550,80,5
200,240,735,52,1
240,50,745,52,1
50,1,805,10,1
1,50,1610,51,1
50,240,1635,51,1
240,200,1650,80,1
200,240,735,30,2
240,200,1650,80,2
350,260,610,10,1
260,350,1510,80,1
350,625,545,10,1
625,350,1945,80,1
350,140,730,20,1
140,350,1720,80,1
350,300,705,30,18
300,350,1430,80,18
300,300,1000,46,14
300,300,1200,80,14
300,300,1400,41,1
300,300,1600,80,1
300,300,1100,46,1
300,300,1300,80,1
500,500,1030,41,7
500,500,1200,80,7
50,50,800,46,6
50,50,910,80,6
50,140,745,10,6
140,50,1845,80,6
50,500,1715,46,1
500,50,2015,80,1
50,50,2330,80,7
425,425,1200,41,1
425,425,1300,80,1
400,360,700,10,1
360,400,1500,80,1
200,400,2100,80,1
400,50,800,20,3
50,400,1500,80,3
500,200,900,41,1
200,500,1015,80,1
500,500,1500,41,1
500,500,1540,80,1
500,500,840,43,1
500,500,1015,80,1
500,500,745,10,1
500,500,1805,41,1
500,500,1815,80,1
425,180,700,10,1
180,425,1830,80,1
100,50,605,41,7
50,1,645,10,7
1,100,1900,80,7
300,300,950,51,7
300,50,1055,43,13
50,350,1120,777,13
350,300,1125,80,13
300,350,1220,777,1
350,300,1310,80,1
300,300,1620,51,1
300,300,1630,80,1
140,140,1005,777,7
140,140,1020,80,7
140,120,1430,41,1
120,140,1700,80,1
140,140,1730,41,7
140,140,1845,80,7
140,240,900,10,1
240,140,945,80,1
140,140,1005,777,7
140,140,1020,80,7
140,50,1240,44,1
50,140,1400,80,1
140,120,1430,41,2
120,140,1700,80,2
140,140,1730,41,7
140,140,1845,80,7
140,140,1945,41,1
140,140,2000,80,1
180,260,2000,80,1
260,200,900,10,1
200,260,1600,80,1
260,260,900,30,18
260,260,1600,80,18
260,260,1800,41,7
260,260,1830,80,7
560,500,1200,11,1
500,500,1345,43,1
500,500,1500,41,1
500,500,1530,46,1
500,560,1630,80,1
180,180,1200,41,1
180,180,1330,80,1
180,200,800,10,1
200,180,1900,80,1
180,180,1500,41,1
180,180,1600,80,1
180,140,1800,44,1
140,180,2100,80,1
240,50,1000,43,6
50,50,1215,43,6
50,240,1400,43,6
50,240,2030,80,2
400,140,900,43,1
140,400,935,52,1
400,400,955,80,1
400,180,1915,46,1
180,400,2045,80,1
400,140,900,43,2
140,400,935,30,2
400,400,1605,80,18
400,140,900,43,2
140,400,935,30,2
400,400,1605,80,18
500,500,550,46,1
500,500,705,80,1
500,500,550,46,2
500,500,705,80,2
500,500,1420,80,1
260,500,1530,80,1
260,500,1915,80,1
200,1,810,10,6
1,200,1710,80,6
450,500,1010,43,1
500,450,1139,80,1
500,500,1120,41,7
500,500,1130,80,7
140,200,1830,44,1
200,200,1950,41,1
200,200,2030,41,1
200,140,2100,80,1
140,140,2130,46,1
140,140,2300,80,1
50,140,910,43,1
140,50,1030,80,1
260,700,1345,52,1
700,260,1420,80,1
200,200,1350,43,1
200,200,1420,41,1
200,200,1430,80,1
200,50,1500,41,1
50,200,1520,80,1
200,50,815,46,6
50,200,1020,80,6
140,140,1100,41,2
140,140,1200,80,1
140,140,1300,41,1
140,180,1400,41,1
180,140,1430,80,1
140,140,1500,41,1
140,140,1600,80,1
1,1,830,10,7
1,1,1340,11,7
1,1,1440,10,7
1,1,1725,80,7
1,50,1800,46,7
50,1,2515,80,7
260,560,1715,46,1
560,260,1930,80,1
400,260,1100,40,1
260,260,1120,41,1
260,200,1300,41,1
200,400,1345,80,1
400,360,1600,46,1
360,400,1700,80,1
400,260,1100,40,2
260,260,1120,41,2
260,200,1300,41,2
200,400,1345,80,2
400,140,1800,44,1
140,300,1930,46,1
300,400,2130,80,1
400,360,1200,46,1
360,400,1300,80,1
400,360,1600,46,2
360,400,1700,80,2
240,240,850,52,1
240,240,900,80,1
240,240,850,30,2
240,240,1515,80,7
240,240,850,30,2
240,240,1515,80,7
300,300,1000,43,1
300,300,1100,80,1
450,450,820,52,1
450,360,830,41,1
360,360,900,44,1
360,450,910,80,1
450,450,1600,51,1
450,450,1610,80,1
450,360,715,12,1
360,450,1640,80,1
200,200,700,10,3
200,450,2300,80,2
450,140,820,30,18
140,450,1500,80,18
450,450,715,30,18
450,450,1420,80,18
450,450,2140,80,6
50,50,1010,41,7
50,50,1030,41,3
50,50,1130,41,3
50,50,1140,44,7
50,50,1230,80,7
