originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
120,50,1300,20,4,13.18
50,120,1615,80,4,13.18
425,425,820,41,1,56.78
425,425,825,80,1,56.78
425,425,1900,41,7,56.78
425,425,2100,80,7,56.78
425,140,800,43,3,56.78
140,425,1700,80,3,56.78
425,50,700,20,3,56.78
50,425,2000,80,3,56.78
425,425,1000,30,7,56.78
425,425,1500,80,7,56.78
425,425,800,30,18,56.78
425,425,1510,80,18,56.78
400,400,725,52,7,15.54
400,400,755,52,7,15.54
400,400,810,80,7,15.54
400,400,1030,43,1,15.54
400,400,1115,80,1,15.54
400,400,1245,80,7,15.54
400,400,1425,51,7,15.54
400,400,1435,80,7,15.54
400,400,1520,51,7,15.54
400,400,1540,80,7,15.54
400,400,755,52,7,15.54
400,400,810,80,7,15.54
300,400,1700,80,1,15.54
400,400,725,30,18,15.54
400,400,1400,80,18,15.54
400,180,755,30,18,15.54
180,400,1500,80,18,15.54
425,425,825,52,1,12.54
425,425,840,80,1,12.54
425,425,1500,51,1,12.54
425,425,1520,80,1,12.54
425,425,820,30,2,12.54
425,425,1520,80,2,12.54
140,140,1300,41,2,9.99
140,180,1400,41,2,9.99
180,180,1515,52,2,9.99
180,140,1530,80,2,9.99
140,140,1300,41,1,9.99
140,180,1400,41,1,9.99
180,180,1515,52,1,9.99
180,140,1530,80,1,9.99
300,300,845,43,1,11.67
50,300,1410,80,1,11.67
300,300,1630,43,1,11.67
300,300,1745,80,1,11.67
500,500,745,41,1,23.75
500,500,915,80,1,23.75
500,500,1500,51,7,23.75
500,500,1515,80,7,23.75
500,500,730,52,7,23.75
500,500,745,80,7,23.75
500,500,1045,41,1,23.75
500,500,1200,41,1,23.75
500,500,1230,41,1,23.75
500,500,1245,80,1,23.75
500,500,1440,51,7,23.75
500,500,1455,80,7,23.75
100,100,1300,80,1,30.87
100,1,1900,46,1,30.87
1,100,2130,80,1,30.87
100,1,805,10,6,30.87
1,100,1630,80,6,30.87
100,100,945,46,1,30.87
100,100,1100,80,1,30.87
100,50,1545,20,4,30.87
50,100,1715,44,4,30.87
100,100,1745,80,1,30.87
120,100,2130,80,1,30.87
260,200,1100,41,1,51.03
200,140,1200,41,1,51.03
140,300,1300,41,1,51.03
300,100,1530,43,1,51.03
100,260,1615,80,1,51.03
500,240,1000,10,1,11.42
240,500,1700,80,1,11.42
100,140,1425,10,4,66.9
140,100,2005,80,2,66.9
100,120,835,30,3,66.9
120,100,1545,80,3,66.9
300,200,810,43,1,19.17
200,300,1230,80,1,19.17
140,50,1410,44,1,5.79
50,140,1505,80,1,5.79
50,200,810,10,1,12.31
200,50,1645,80,1,12.31
50,50,2315,80,7,12.31
50,140,830,10,1,12.31
140,140,1830,41,1,12.31
140,50,1900,80,1,12.31
50,1,1100,41,7,13.09
1,50,1300,44,7,13.09
50,50,1430,80,7,13.09
50,140,1500,52,1,13.09
140,50,1530,80,1,13.09
50,1,1100,41,7,13.09
1,50,1300,44,7,13.09
50,50,1430,80,7,13.09
425,425,1600,41,1,23.37
425,425,1615,41,1,23.37
425,425,1645,80,1,23.37
425,200,900,10,1,23.37
200,425,1615,80,1,23.37
425,260,1050,43,1,23.23
260,425,1145,80,1,23.23
425,450,610,10,1,23.23
